data,descricao,valor
2026-04-01,SALARIO EMPRESA XYZ,3500.00
2026-04-02,IFOOD RESTAURANTE,-45.90
2026-04-03,UBER VIAGEM,-18.50
2026-04-05,SUPERMERCADO BOMPRECO,-287.43
2026-04-07,NETFLIX.COM ASSINATURA,-39.90
2026-04-08,IFOOD RESTAURANTE,-52.30
2026-04-10,POSTO COMBUSTIVEL,-150.00
2026-04-12,SPOTIFY PREMIUM,-21.90
2026-04-15,FARMACIA DROGASIL,-89.50
2026-04-18,IFOOD RESTAURANTE,-67.80
2026-04-20,SUPERMERCADO BOMPRECO,-198.20
2026-04-22,UBER VIAGEM,-25.30
2026-04-25,AMAZON PRIME,-14.90
2026-04-28,LANCHONETE CENTRO,-32.00
2026-04-30,TRANSFERENCIA PIX RECEBIDA,150.00
2026-05-01,SALARIO EMPRESA XYZ,3500
2026-05-02,IFOOD RESTAURANTE,-45.90
2026-05-03,PADARIA SAO JOSE,-15.00
2026-05-04,CINEMA SHOPPING TAMBAU,-32.00
2026-05-05,BANCO INTER ANUIDADE,-12.50
